iter	Passed	Remaining
0	48	48248
1	49	24514
2	49	16594
3	50	12625
4	51	10228
5	52	8634
6	53	7586
7	53	6695
8	54	6021
9	55	5486
10	56	5076
11	57	4703
12	57	4400
13	58	4131
14	59	3905
15	60	3703
16	60	3525
17	61	3369
18	62	3222
19	63	3092
20	64	3005
21	64	2888
22	65	2791
23	66	2701
24	67	2619
25	67	2544
26	68	2475
27	69	2410
28	70	2348
29	70	2287
30	71	2234
31	72	2185
32	72	2136
33	73	2090
34	74	2048
35	75	2010
36	75	1972
37	76	1939
38	77	1905
39	78	1873
40	78	1847
41	79	1819
42	80	1792
43	81	1764
44	82	1741
45	82	1715
46	83	1690
47	83	1663
48	84	1642
49	85	1622
50	86	1601
51	86	1579
52	87	1561
53	88	1543
54	88	1527
55	89	1510
56	90	1494
57	91	1479
58	91	1461
59	92	1448
60	93	1438
61	94	1423
62	94	1410
63	95	1396
64	96	1384
65	96	1372
66	97	1360
67	98	1349
68	99	1336
69	99	1326
70	100	1314
71	101	1304
72	101	1294
73	102	1285
74	103	1275
75	104	1266
76	104	1257
77	105	1249
78	106	1240
79	107	1232
80	107	1224
81	108	1216
82	109	1208
83	110	1199
84	110	1192
85	111	1185
86	112	1178
87	113	1171
88	113	1165
89	114	1158
90	115	1150
91	116	1144
92	116	1138
93	117	1132
94	118	1127
95	119	1122
96	119	1116
97	120	1110
98	121	1104
99	122	1098
100	122	1091
101	123	1086
102	124	1081
103	124	1076
104	125	1066
105	125	1062
106	126	1057
107	127	1052
108	128	1048
109	129	1043
110	129	1039
111	130	1034
112	131	1028
113	131	1024
114	132	1020
115	133	1016
116	134	1011
117	134	1007
118	135	1004
119	136	1000
120	137	996
121	137	991
122	138	988
123	139	984
124	140	980
125	140	977
126	141	972
127	142	969
128	143	965
129	143	962
130	144	959
131	145	955
132	145	951
133	146	946
134	147	942
135	147	937
136	148	933
137	148	929
138	149	925
139	149	921
140	150	917
141	151	913
142	151	909
143	152	905
144	152	901
145	153	897
146	154	893
147	154	890
148	155	886
149	155	882
150	156	879
151	156	875
152	157	872
153	158	868
154	158	865
155	159	861
156	159	858
157	160	854
158	161	851
159	161	848
160	162	845
161	162	841
162	163	838
163	163	835
164	164	832
165	165	830
166	166	832
167	167	829
168	169	834
169	173	847
170	174	844
171	174	841
172	177	847
173	177	844
174	178	842
175	179	840
176	180	838
177	180	835
178	181	832
179	182	829
180	182	827
181	183	825
182	184	822
183	184	819
184	185	817
185	186	814
186	186	812
187	187	808
188	187	806
189	188	803
190	189	800
191	189	798
192	190	796
193	191	794
194	191	791
195	192	788
196	192	786
197	193	783
198	193	780
199	194	778
200	195	776
201	195	773
202	196	770
203	196	767
204	197	765
205	199	767
206	200	766
207	200	764
208	201	762
209	202	761
210	203	759
211	203	757
212	204	756
213	205	754
214	206	753
215	206	750
216	207	750
217	208	747
218	209	746
219	209	744
220	210	742
221	211	741
222	212	739
223	213	738
224	213	736
225	214	734
226	215	733
227	216	731
228	216	730
229	217	728
230	218	727
231	219	725
232	220	724
233	220	722
234	221	721
235	222	720
236	223	718
237	223	717
238	224	715
239	225	714
240	226	712
241	227	711
242	227	709
243	228	708
244	229	706
245	230	705
246	230	704
247	231	702
248	232	701
249	233	699
250	234	698
251	234	697
252	235	695
253	236	694
254	237	693
255	237	691
256	238	690
257	239	688
258	240	687
259	241	686
260	241	684
261	242	683
262	243	682
263	244	680
264	244	679
265	245	678
266	246	676
267	247	675
268	248	674
269	248	672
270	249	671
271	250	670
272	251	668
273	251	667
274	252	666
275	253	664
276	254	663
277	255	662
278	255	661
279	256	659
280	257	658
281	258	657
282	258	656
283	259	654
284	260	653
285	261	652
286	262	651
287	262	649
288	263	648
289	264	647
290	265	646
291	265	644
292	266	643
293	267	642
294	268	641
295	269	640
296	269	638
297	270	637
298	271	636
299	272	635
300	273	634
301	273	632
302	274	631
303	275	630
304	276	629
305	276	628
306	277	626
307	278	625
308	279	624
309	280	623
310	280	622
311	281	621
312	282	620
313	283	618
314	284	617
315	284	616
316	285	615
317	286	614
318	287	612
319	287	611
320	288	610
321	289	609
322	290	608
323	291	607
324	291	606
325	292	605
326	293	603
327	293	602
328	294	601
329	295	599
330	296	598
331	297	597
332	297	596
333	298	595
334	299	594
335	300	593
336	301	592
337	302	591
338	303	591
339	304	590
340	305	589
341	305	588
342	306	587
343	307	586
344	308	585
345	308	584
346	309	582
347	310	581
348	311	580
349	312	579
350	312	578
351	313	577
352	314	576
353	315	575
354	315	574
355	316	573
356	317	571
357	318	570
358	319	569
359	319	568
360	320	567
361	321	566
362	322	565
363	322	564
364	323	563
365	324	562
366	325	560
367	327	561
368	327	560
369	328	559
370	329	558
371	332	561
372	333	559
373	334	559
374	337	562
375	338	561
376	339	561
377	340	559
378	340	558
379	341	557
380	342	556
381	343	555
382	343	553
383	344	552
384	345	551
385	345	550
386	346	549
387	347	547
388	347	546
389	348	545
390	349	544
391	350	543
392	351	542
393	351	541
394	352	540
395	353	538
396	354	538
397	355	537
398	355	535
399	356	534
400	356	533
401	357	531
402	358	530
403	358	529
404	359	528
405	360	527
406	361	526
407	362	525
408	362	524
409	363	523
410	364	522
411	365	521
412	365	519
413	366	518
414	367	517
415	367	516
416	368	515
417	369	514
418	370	513
419	370	512
420	371	511
421	372	510
422	373	509
423	374	508
424	374	507
425	375	506
426	376	505
427	377	504
428	378	503
429	379	502
430	380	501
431	380	500
432	381	499
433	382	498
434	383	497
435	383	496
436	384	495
437	385	494
438	385	493
439	386	492
440	387	491
441	388	489
442	388	488
443	389	487
444	390	486
445	391	485
446	391	484
447	392	483
448	393	482
449	394	481
450	394	480
451	395	479
452	396	478
453	396	477
454	397	475
455	398	475
456	398	473
457	399	472
458	400	472
459	401	471
460	402	470
461	402	468
462	403	467
463	404	466
464	405	466
465	405	464
466	406	463
467	407	462
468	408	461
469	408	460
470	409	459
471	410	459
472	411	458
473	412	457
474	412	456
475	413	455
476	414	454
477	414	452
478	415	451
479	416	450
480	416	449
481	417	448
482	418	447
483	419	446
484	420	446
485	420	445
486	421	444
487	422	443
488	423	442
489	423	441
490	424	440
491	425	439
492	425	438
493	426	437
494	427	436
495	428	435
496	428	434
497	429	433
498	430	431
499	430	430
500	431	429
501	432	428
502	433	428
503	434	427
504	434	426
505	435	425
506	436	424
507	436	423
508	437	422
509	438	421
510	439	420
511	439	419
512	440	418
513	441	417
514	442	416
515	443	415
516	444	414
517	444	414
518	445	413
519	446	412
520	447	411
521	447	410
522	448	409
523	449	408
524	450	407
525	450	406
526	451	405
527	452	404
528	453	403
529	453	402
530	454	401
531	455	400
532	456	399
533	457	398
534	457	397
535	458	396
536	458	395
537	459	394
538	460	393
539	460	392
540	461	391
541	462	390
542	463	389
543	463	388
544	464	387
545	465	386
546	466	385
547	466	385
548	467	384
549	468	383
550	468	382
551	469	381
552	470	380
553	471	379
554	471	378
555	472	377
556	473	376
557	473	375
558	474	374
559	475	373
560	476	372
561	476	371
562	477	370
563	478	369
564	478	368
565	479	367
566	480	366
567	480	365
568	481	364
569	482	363
570	483	363
571	483	362
572	484	361
573	485	360
574	486	359
575	486	358
576	487	357
577	488	356
578	489	356
579	490	355
580	493	355
581	493	354
582	495	354
583	496	353
584	496	352
585	497	351
586	498	350
587	498	349
588	499	348
589	500	347
590	501	346
591	501	345
592	502	344
593	503	343
594	503	342
595	504	341
596	505	341
597	506	340
598	506	339
599	507	338
600	508	337
601	508	336
602	509	335
603	510	334
604	511	333
605	511	332
606	512	331
607	513	330
608	514	330
609	514	329
610	515	328
611	516	327
612	516	326
613	517	325
614	518	324
615	519	323
616	519	322
617	520	321
618	521	320
619	521	319
620	522	318
621	523	318
622	524	317
623	524	316
624	525	315
625	526	314
626	527	313
627	527	312
628	528	311
629	529	310
630	530	310
631	530	309
632	531	308
633	532	307
634	533	306
635	534	305
636	535	305
637	536	304
638	537	303
639	537	302
640	538	301
641	539	300
642	540	299
643	540	298
644	541	297
645	542	297
646	542	296
647	543	295
648	544	294
649	545	293
650	545	292
651	546	291
652	547	290
653	548	289
654	548	289
655	549	288
656	550	287
657	551	286
658	551	285
659	552	284
660	553	283
661	554	282
662	554	282
663	555	281
664	556	280
665	557	279
666	557	278
667	558	277
668	559	276
669	560	275
670	560	274
671	561	274
672	562	273
673	563	272
674	563	271
675	564	270
676	565	269
677	566	268
678	566	268
679	567	267
680	568	266
681	569	265
682	569	264
683	570	263
684	571	262
685	572	261
686	572	261
687	573	260
688	574	259
689	575	258
690	576	257
691	576	256
692	577	255
693	578	255
694	579	254
695	581	253
696	581	252
697	582	251
698	582	251
699	583	250
700	584	249
701	584	248
702	585	247
703	585	246
704	586	245
705	586	244
706	587	243
707	588	242
708	588	241
709	589	240
710	589	239
711	590	238
712	591	237
713	591	236
714	592	236
715	592	235
716	593	234
717	593	233
718	594	232
719	595	231
720	595	230
721	596	229
722	596	228
723	597	227
724	597	226
725	598	225
726	599	224
727	599	224
728	600	223
729	600	222
730	601	221
731	602	220
732	602	219
733	603	218
734	603	217
735	604	216
736	605	215
737	605	214
738	606	214
739	606	213
740	607	212
741	607	211
742	608	210
743	609	209
744	609	208
745	610	207
746	611	207
747	611	206
748	612	205
749	612	204
750	613	203
751	614	202
752	614	201
753	615	200
754	615	199
755	616	198
756	617	198
757	617	197
758	619	196
759	620	195
760	621	195
761	621	194
762	623	193
763	623	192
764	624	191
765	624	190
766	625	190
767	626	189
768	627	188
769	628	187
770	628	186
771	629	185
772	630	185
773	631	184
774	631	183
775	632	182
776	633	181
777	634	180
778	634	180
779	635	179
780	636	178
781	637	177
782	638	176
783	638	175
784	639	175
785	640	174
786	641	173
787	641	172
788	642	171
789	643	171
790	644	170
791	644	169
792	645	168
793	646	167
794	647	166
795	647	166
796	648	165
797	649	164
798	650	163
799	651	162
800	651	161
801	652	161
802	653	160
803	654	159
804	654	158
805	655	157
806	656	156
807	657	156
808	657	155
809	658	154
810	659	153
811	660	152
812	661	152
813	661	151
814	662	150
815	663	149
816	664	148
817	664	147
818	666	147
819	666	146
820	667	145
821	668	144
822	668	143
823	669	142
824	670	142
825	671	141
826	671	140
827	672	139
828	673	138
829	674	138
830	674	137
831	675	136
832	676	135
833	677	134
834	678	133
835	678	133
836	679	132
837	680	131
838	681	130
839	681	129
840	682	129
841	683	128
842	684	127
843	685	126
844	685	125
845	686	124
846	687	124
847	688	123
848	688	122
849	689	121
850	690	120
851	691	120
852	692	119
853	692	118
854	693	117
855	694	116
856	695	116
857	696	115
858	696	114
859	697	113
860	698	112
861	699	111
862	699	111
863	700	110
864	701	109
865	702	108
866	702	107
867	703	107
868	704	106
869	705	105
870	707	104
871	708	104
872	709	103
873	709	102
874	710	101
875	711	100
876	712	99
877	713	99
878	714	98
879	715	97
880	715	96
881	716	95
882	717	95
883	718	94
884	718	93
885	719	92
886	720	91
887	721	90
888	721	90
889	722	89
890	723	88
891	724	87
892	724	86
893	725	86
894	726	85
895	726	84
896	727	83
897	728	82
898	729	81
899	729	81
900	730	80
901	731	79
902	732	78
903	732	77
904	733	77
905	734	76
906	735	75
907	735	74
